"SKU","TITLE","DESCRIPTION","WEIGHT","PRICE","CATEGORY","IMAGEURL","COLORE","TAGLIA","FREESHIPPING","GROUPBY"
"600D_Bicolor_S","Slip Donna - S","Slip Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.1710,20.0000,"Intimo donna hi-tech","http://www.viaintimosportivoasa.it/media/catalog/product/6/0/600D_01_l.jpg","BICOLOR","S","NO","600D"
"600D_Nero_L","Slip Donna - L","Slip Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.1710,20.0000,"Intimo donna hi-tech","http://www.viaintimosportivoasa.it/media/catalog/product/6/0/600D_01_l.jpg","BLACK","L","NO","600D"
"600D_Nero_M","Slip Donna - M","Slip Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.1710,20.0000,"Intimo donna hi-tech","http://www.viaintimosportivoasa.it/media/catalog/product/6/0/600D_01_l.jpg","BLACK","M","NO","600D"
"600D_Nero_S","Slip Donna - S","Slip Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.1710,20.0000,"Intimo donna hi-tech","http://www.viaintimosportivoasa.it/media/catalog/product/6/0/600D_01_l.jpg","BLACK","S","NO","600D"
"104_Nero_L.XL","Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - L/XL","Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,49.0000,"Intimo uomo hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/104_01_l.jpg","BLACK","L/XL","NO","104"
"104_Nero_S.M","Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - S/M","Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,49.0000,"Intimo uomo hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/104_01_l.jpg","BLACK","S/M","NO","104"
"104_Nero_XS","Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - XS","Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,49.0000,"Intimo uomo hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/104_01_l.jpg","BLACK","XS","NO","104"
"104_White_L.XL","Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - L/XL","Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,49.0000,"Intimo uomo hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/104_01_l.jpg","WHITE","L/XL","NO","104"
"104_White_S.M","Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - S/M","Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,49.0000,"Intimo uomo hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/104_01_l.jpg","WHITE","S/M","NO","104"
"104_White_XS","Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - XS","Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,49.0000,"Intimo uomo hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/104_01_l.jpg","WHITE","XS","NO","104"
"104D_Nero_L.XL","Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - L/XL","Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,49.0000,"Intimo donna hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/104D_01_l.jpg","BLACK","L/XL","NO","104D"
"104D_Nero_S.M","Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - S/M","Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,49.0000,"Intimo donna hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/104D_01_l.jpg","BLACK","S/M","NO","104D"
"104D_Nero_XS","Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - XS","Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,49.0000,"Intimo donna hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/104D_01_l.jpg","BLACK","XS","NO","104D"
"104D_White_L.XL","Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - L/XL","Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,49.0000,"Intimo donna hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/104D_01_l.jpg","WHITE","L/XL","NO","104D"
"104D_White_S.M","Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - S/M","Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,49.0000,"Intimo donna hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/104D_01_l.jpg","WHITE","S/M","NO","104D"
"104D_White_XS","Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - XS","Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,49.0000,"Intimo donna hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/104D_01_l.jpg","WHITE","XS","NO","104D"
"103D_White_L","Top Donna - L","Top Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.1710,26.0000,"Intimo donna hi-tech","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/103D_01_l.jpg","WHITE","L","NO","103D"
"103D_White_M","Top Donna - M","Top Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.1710,26.0000,"Intimo donna hi-tech","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/103D_01_l.jpg","WHITE","M","NO","103D"
"103D_White_S","Top Donna - S","Top Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.1710,26.0000,"Intimo donna hi-tech","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/103D_01_l.jpg","WHITE","S","NO","103D"
"103D_Bicolor_L","Top Donna - L","Top Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.1710,26.0000,"Intimo donna hi-tech","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/103D_01_l.jpg","BICOLOR","L","NO","103D"
"103D_Bicolor_M","Top Donna - M","Top Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.1710,26.0000,"Intimo donna hi-tech","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/103D_01_l.jpg","BICOLOR","M","NO","103D"
"103D_Bicolor_S","Top Donna - S","Top Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.1710,26.0000,"Intimo donna hi-tech","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/103D_01_l.jpg","BICOLOR","S","NO","103D"
"103D_Nero_L","Top Donna - L","Top Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.1710,26.0000,"Intimo donna hi-tech","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/103D_01_l.jpg","BLACK","L","NO","103D"
"103D_Nero_M","Top Donna - M","Top Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.1710,26.0000,"Intimo donna hi-tech","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/103D_01_l.jpg","BLACK","M","NO","103D"
"103D_Nero_S","Top Donna - S","Top Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.1710,26.0000,"Intimo donna hi-tech","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/103D_01_l.jpg","BLACK","S","NO","103D"
