SKU,TITLE,DESCRIPTION,WEIGHT,PRICE,CATEGORY,COLORE,TAGLIA,FREESHIPPING,GROUPBY,VISITURL,ENABLEBUYBUTTON,ENABLEVISITBUTTON,DISCOUNTEDPRICE
104_Nero_XS,Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - XS,"Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,49,Intimo uomo hi-tech in carbonio/Carbon,BLACK,XS,NO,104,http://moluko.com,yes,no,
104_White_L.XL,Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - L/XL,"Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,49,Intimo uomo hi-tech in carbonio/Carbon,WHITE,L/XL,NO,104,http://moluko.com,yes,no,
104_White_S.M,Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - S/M,"Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,49,Intimo uomo hi-tech in carbonio/Carbon,WHITE,S/M,NO,104,http://moluko.com,yes,no,
104_White_XS,Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - XS,"Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,49,Intimo uomo hi-tech in carbonio/Carbon,WHITE,XS,NO,104,http://moluko.com,yes,no,
104D_Nero_L.XL,Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - L/XL,"Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,49,Intimo donna hi-tech in carbonio/Carbon,BLACK,L/XL,NO,104D,http://moluko.com,yes,no,
104D_Nero_S.M,Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - S/M,"Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,49,Intimo donna hi-tech in carbonio/Carbon,BLACK,S/M,NO,104D,http://moluko.com,yes,no,
104D_Nero_XS,Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - XS,"Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,49,Intimo donna hi-tech in carbonio/Carbon,BLACK,XS,NO,104D,http://moluko.com,yes,no,
104D_White_L.XL,Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - L/XL,"Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,49,Intimo donna hi-tech in carbonio/Carbon,WHITE,L/XL,NO,104D,http://moluko.com,yes,no,
104D_White_S.M,Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - S/M,"Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,49,Intimo donna hi-tech in carbonio/Carbon,WHITE,S/M,NO,104D,http://moluko.com,yes,no,
104D_White_XS,Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - XS,"Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,49,Intimo donna hi-tech in carbonio/Carbon,WHITE,XS,NO,104D,http://moluko.com,yes,no,
103D_White_L,Top Donna - L,"Top Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,26,Intimo donna hi-tech,WHITE,L,NO,103D,http://moluko.com,yes,no,
103D_White_M,Top Donna - M,"Top Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,26,Intimo donna hi-tech,WHITE,M,NO,103D,http://moluko.com,yes,no,
103D_White_S,Top Donna - S,"Top Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,26,Intimo donna hi-tech,WHITE,S,NO,103D,http://moluko.com,yes,no,
103D_Bicolor_L,Top Donna - L,"Top Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,26,Intimo donna hi-tech,BICOLOR,L,NO,103D,http://moluko.com,yes,no,
103D_Bicolor_M,Top Donna - M,"Top Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,26,Intimo donna hi-tech,BICOLOR,M,NO,103D,http://moluko.com,yes,no,
103D_Bicolor_S,Top Donna - S,"Top Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,26,Intimo donna hi-tech,BICOLOR,S,NO,103D,http://moluko.com,yes,no,
103D_Nero_L,Top Donna - L,"Top Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,26,Intimo donna hi-tech,BLACK,L,NO,103D,http://moluko.com,yes,no,
103D_Nero_M,Top Donna - M,"Top Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,26,Intimo donna hi-tech,BLACK,M,NO,103D,http://moluko.com,yes,no,
103D_Nero_S,Top Donna - S,"Top Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,26,Intimo donna hi-tech,BLACK,S,NO,103D,http://moluko.com,yes,no,
101_white_L.XL,Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - L/XL,"Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,38.5,Intimo uomo hi-tech in carbonio/Carbon,WHITE,L/XL,NO,101,http://moluko.com,yes,no,
101_white_S.M,Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - S/M,"Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,38.5,Intimo uomo hi-tech in carbonio/Carbon,WHITE,S/M,NO,101,http://moluko.com,yes,no,
